Timestamp,Symbol,Open Price,Close Price,High Price,Low Price,Volume,Number of Trades,Quote Asset Volume
2025-01-23 10:31:59.999,BTCUSDT,101970.0,102009.43,102027.31,101970.0,23.32051,3129.0,2378525.1364881
2025-01-23 10:31:59.999,ETHUSDT,3211.2,3211.48,3212.5,3210.68,197.1074,1374.0,633036.091925
2025-01-23 10:31:59.999,BNBUSDT,685.81,685.69,685.94,685.61,137.848,344.0,94533.53425
2025-01-23 10:31:59.999,BTCUSDT,101970.0,101963.56,102027.31,101963.56,27.32385,3624.0,2786784.4836267
2025-01-23 10:31:59.999,ETHUSDT,3211.2,3209.99,3212.5,3209.99,205.6026,1576.0,660312.318944
2025-01-23 10:31:59.999,BNBUSDT,685.81,685.63,685.94,685.61,139.01,367.0,95330.25077
2025-01-23 10:31:59.999,BNBUSDT,685.81,685.63,685.94,685.61,139.156,368.0,95430.35275
2025-01-23 10:31:59.999,BTCUSDT,101970.0,101962.94,102027.31,101962.94,27.32885,3636.0,2787294.2983653
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101962.94,101962.94,101962.94,0.0,0.0,0.0
2025-01-23 10:31:59.999,ETHUSDT,3211.2,3209.95,3212.5,3209.94,205.9201,1583.0,661331.477309
2025-01-23 10:32:59.999,ETHUSDT,3209.95,3209.95,3209.95,3209.95,0.0,0.0,0.0
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.63,685.63,685.63,0.18,1.0,123.4134
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101962.94,101962.95,101962.94,0.23938,41.0,24407.8894414
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.94,3209.94,3209.94,0.2757,5.0,884.980458
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.63,685.63,685.63,0.194,2.0,133.01222
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101969.97,101969.97,101962.14,0.48094,194.0,49037.9356587
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3209.95,3209.95,3209.94,2.3045,14.0,7397.327018
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101969.98,101969.98,101962.14,0.48819,196.0,49777.2180137
2025-01-23 10:32:59.999,ETHUSDT,3209.94,3210.06,3210.29,3209.68,237.8597,244.0,763542.261392
2025-01-23 10:32:59.999,BNBUSDT,685.63,685.63,685.63,685.62,0.843,10.0,577.98443
2025-01-23 10:32:59.999,BTCUSDT,101962.94,101969.98,101969.98,101962.14,0.49697,203.0,50672.5143904
